DATE,White,Blue,Black,Red,Green
7/20/2022,14.1,28,17.9,19.3,20.7
7/21/2022,13.6,28.5,18.9,18.9,20
7/22/2022,13.3,30.5,19.3,16.7,20.2
7/23/2022,14.1,29.7,18.6,18,19.7
7/25/2022,14,27.6,19,17.3,22.1
7/26/2022,14,28.1,18.9,16.8,22.2
7/28/2022,14.4,27.6,18.5,18.1,21.4
7/29/2022,13.3,27.3,18.4,19.2,21.8
8/1/2022,14.1,26.9,18.8,17.5,22.6
8/3/2022,14.2,26,18.5,19.6,21.7
8/4/2022,13,27.1,17.4,19.3,23.2
8/5/2022,14.4,26.3,18.3,19.1,21.9
8/8/2022,15.1,26.8,19,17.8,21.3
8/22/2022,14.9,26.3,19,18.8,21
8/25/2022,13.7,27.1,18.5,18.5,22.2
9/6/2022,15.1,26,18.7,18.7,21.5
9/12/2022,14.3,26.2,17.8,18.6,23
9/13/2022,14.7,27.8,18.6,18,20.9
9/16/2022,14.1,27.2,18.4,19.3,20.8
9/19/2022,14.3,26.3,19,18.5,21.9
9/21/2022,15.4,24.9,18.3,18.6,22.8
9/22/2022,14.9,26.2,18.6,17.5,22.8
9/27/2022,15.4,24.9,17.9,19.5,22.3
9/29/2022,13.9,27.1,18.4,19.7,21
10/3/2022,14.8,26.4,19.2,18.4,21.2
10/4/2022,15.6,28.1,18.6,18.1,19.6
10/5/2022,15.1,26.6,18.5,18.5,21.4
10/7/2022,14.9,26.7,19.1,17.7,21.6
10/14/2022,15.1,25.5,18.1,19.1,22.2
